name,price,status,shipping,free_returns,items_sold
LeBron VIII V/2 Low QS,6000,Pre-Owned,779,False,False
Nike Lebron XVI 16 Superman Superbron Size 4.5,14000,New (Other),1495,False,False
Size 10 - Nike LeBron 9 Cannon - (469764-004),19999,Brand New,1495,False,False
2024-25 Donruss Basketball NET MARVELS insert Complete your set - You pick Card,249699,Pre-Owned,0,False,False
New Listing,5000,New (Other),1440,False,False
"2024-25 Panini Prizm Monopoly NBA BASE, INSERTS AND COLOR",100600,Pre-Owned,125,False,False
New Listing,2500,Pre-Owned,1171,False,False
New Listing,9999,New (Other),1495,False,False
2022-23 Panini Prizm Base Complete Your Set You Pick Basketball Card #1-300,99199,Pre-Owned,0,False,False
Size 10 - Nike LeBron 9 Miami Hurricanes (469764-102),13999,Pre-Owned,1495,False,False
Lebron James 9 Size 11,15000,Brand New,1495,False,False
New Listing,4999,Pre-Owned,0,False,False
2024-25 NBA Hoops - Complete Your Set - Volume Discount,99250,Pre-Owned,60,False,False
Lebron James 2004 Bubblicious Assorted 4Pack Lemonade Strawberry Apple Etc Gum,6599,False,0,True,False
New Listing,6000,Pre-Owned,1600,False,False
2023-24 Hoops Haunted Hoops Basketball Card Pick (Base) 101-300,99500,Pre-Owned,150,True,False
New Listing,8500,Pre-Owned,1495,False,False
New Listing,22000,Brand New,1495,False,False
New Listing,11000,New (Other),1495,False,False
New Listing,5995,New (Other),1665,True,False
2005-06 Topps Versatile Velocity LeBron James #VV7,419422,Pre-Owned,299,False,False
LEBRON JAMES COLLECTABLE KEYCHAIN 3D ACTION FIGURE BASKETBALL LOS ANGELES LAKERS,1999,Brand New,0,False,False
New Listing,39999,Pre-Owned,1495,False,False
2024-25 Donruss Basketball SWISH insert Complete your set - You pick Card,199599,Pre-Owned,0,False,False
2024-25 Donruss Basketball ZERO GRAVITY insert Complete your set - You pick Card,249499,Pre-Owned,0,False,False
New Listing,4800,Pre-Owned,1328,False,False
"Cleveland Cavaliers 3 1/4"" Lextra Logo Patch Basketball Lebron James",300,Pre-Owned,0,False,False
"MENS 8 NEW NIKE MENS LEBRON XV 15 ""GHOST"" 897648-200 STRING/SAIL-VACHETTA TAN",49995,New (Other),1495,False,False
"2024-25 NBA Hoops Base 1-150 -You Pick- **Buy More, Save More**",99193,Pre-Owned,0,False,False
2012-13 Panini Threads LeBron James #76,169181,Pre-Owned,299,False,False
New Listing,10500,Brand New,1495,False,False
24-25 Hoops Basketball Inserts/Parallels Pick Your Card (3/31/25),109249,Pre-Owned,90,False,False
2012 Lebron James Panini Stickers 252 Heat Lakers Champ MVP,899,False,125,True,False
NEW 2024-25 PANINI NBA HOOPS INSERT CARDS & HOLO'S - SET BUILDER - YOU PICK!,100795,Pre-Owned,125,False,False
2006-07 Upper Deck Opti-Free Express Lebron James /6000 LeBron James #5,2324,Pre-Owned,599,False,False
2018-19 Court Kings Jade Basketball Card Pick (Inserts),2002500,Pre-Owned,150,True,False
LEBRON JAMES 2023-24 Panini Prizm SP MONOPOLY #40 LAKERS Choose Quantity,179,Pre-Owned,105,False,False
A6845- 2015-16 Panini Complete Bk 254-330 +Inserts -You Pick- 15+ FREE US SHIP,992238,Pre-Owned,69,True,False
2020-21 Donruss Optic Basketball Base Complete Your Set You Pick Card # 1-150,99199,Pre-Owned,0,False,False
New Listing,13500,New (Other),1495,False,False
Men - Nike LeBron 19 -University Gold / Black,13500,Brand New,1495,False,False
Nike Lebron Air Zoom Generation Court Purple Lakers Suede FJ0667-500 Size 10,13995,Brand New,1495,False,False
New Listing,4199,Pre-Owned,0,False,False
2015-16 Hoops High Flyers - Pick Any,1501200,Pre-Owned,350,True,False
MEDICOM TOY MAFEX No.127 LEBRON JAMES (LOS ANGELES LAKERS) Action Figure,3958,Brand New,0,False,34
nike lebron xvii basketball shoes us size 10 brand new retail price $200,9439,Brand New,1495,False,False
New Listing,17999,Brand New,1495,False,False
Nike Lebron 11 XI Size 11.5 Black Metallic Silver Pink Foil 616175 003 New NIB ,19066,Brand New,1495,False,False
Lebron 11 Everglades,6250,Pre-Owned,0,False,False
New Listing,19999,Brand New,1495,False,False
Nike LeBron 11 NSW Lifestyle QS BHM Metallic Gold 649396-700 Men's Size 10.5,4000,Pre-Owned,858,False,False
MEDICOM TOY MAFEX No.127 LEBRON JAMES (LOS ANGELES LAKERS) Action Figure,3958,Brand New,0,False,34
2021-22 Panini Mosaic National Pride LeBron James #246,198,Pre-Owned,299,False,False
2024-25 NBA Hoops Arriving Now **COMPLETE YOUR SET (1-30)**,100200,Pre-Owned,75,False,False
2004-05 Upper Deck Pro Sigs Diamond Collection LeBron James #13,10771404,Pre-Owned,299,False,False
2021-22 Panini Recon Basketball Card Pick (Base),99400,Pre-Owned,150,True,False
New Listing,6000,Pre-Owned,1328,False,False
New Listing,16500,New (Other),1495,True,False
lebron soldier 10 SVSM size 13,50000,Pre-Owned,1495,False,False
New Listing,8699,Brand New,1495,False,False
"Nike Lebron 21 ""Purple Rain"" Violet Dust Basketball Shoes FV2345-500 Mens Size",8997,Brand New,1495,False,False
Size 10 - Nike LeBron 9 Miami Heat Home (469764-100),10999,Pre-Owned,1495,False,False
New Listing,5500,New (Other),1171,False,False
