name,price,status,shipping,free_returns,items_sold
5pcs 10mm Shank SDS Plus Shank Drill Bit Holder Keychain for Rotary Hammer Drill,1599,Brand New,0,True,False
"Phillips PH2 1"" Power Bits (15 Pack)",1297,Brand New,0,False,False
Montana Modular Drill and Driver Set 10 Piece,3148,Brand New,0,False,127
Milwaukee 48-89-9209 Jam Free Step Drill Bit #9 7/8”-1 1/8”,1799,Brand New,0,False,107
Cordless Drill 12V Power Drill set with Battery & charger 2 Variable Speed 3/8”,2499,Brand New,0,False,False
Milwaukee Fuel 2866-20 Drywall Screwgun Drill M18 Brushless Cordless 18 Volt,9897,Brand New,0,True,938
"New Makita 18V XFD15ZB Cordless 1/2"" Battery Black Compact Drill Driver 18 Volt",8497,Brand New,0,True,50
Milwaukee M12 Hammer Drill Driver 3404-20 + 4.0Ah Battery Charger Kit NEW GEN 3,10998,Open Box,599,True,224
NEW Hart 20v drill driver HPDD01VN and Impact driver HPID01VN w bag - tool only,2999,Brand New,1399,False,39
VEVOR Auger Drill Bits for Planting Set of 2 Garden Auger Spiral Drill Bits,1899,Brand New,0,True,102
Drill Hog® Step Drill Bit Step Set Drill Bits UNIBIT Moly 5Pc Lifetime Warranty ,3799,Brand New,0,True,1084
"RYOBI ONE+ 18V 3/8"" Drill/Driver Kit PCL201K1 - 1.5Ah Battery & Charger (OB2)",4180,Open Box,0,True,False
Electric Cordless Drill 21V Adjustable Drill Driver Set 1 Battery Home DIY Gift,2799,Brand New,0,False,False
Ryobi ONE+ 18V Cordless 1/2 in. Drill/Driver Kit - Fast Drilling - Powerful,5999,Brand New,0,True,False
"Milwaukee 2607-20 M18 Li-Ion 18V 1/2"" Cordless Compact Hammer Drill/Driver",5800,Pre-Owned,0,True,46
"Torx Insert Bit T-20 1"" (15 Pack)",1247,Brand New,0,False,False
Hex 3/16 2-inch Powert Bit (100 Pack),4397,Brand New,0,False,False
"Makita Magnetic Bit Holder – Heavy-Duty 1/4"" Hex Shank Drill Bit Adapter",1600,Brand New,1100,False,False
"10-Pack 5/32"" Cobalt Drill Bit – M35 HSS – for Metal, Stainless, Wood",1897,Brand New,0,False,False
Milwaukee 48-89-4631 SHOCKWAVE Impact Duty RED HELIX Titanium Drill Bit Set-23PC,3699,Brand New,0,True,90
15 in 1 Power Tool Rechargeable Cordless Electric Screwdriver Drill Kit Wireless,1089,Brand New,0,False,False
Cordless Brushless 3/8 in. Drill Driver for Dewalt 20V Max Battery TOOL ONLY,2699,Brand New,0,True,45
Cordless Drill 20V Power Drill set with Battery & charger 2 Variable Speed Bag,2999,Brand New,0,False,False
"Drillforce 1/16""-1/2"" Cobalt Drill Bit Set HSS M35 Jobber Length Metal Drill Bit",6593299,Brand New,0,True,462
"New Milwaukee 2407-20 M12 12V Li-ion 3/8"" Drill/Driver - Bare Tool",3995,Open Box,0,False,17
Bosch 2608619267 Pack of 10 Straight Cutting Disc Standard 125mm,2299,Brand New,0,False,False
"Torx Insert Bit T-25 2"" (250 Pack)",8999,Brand New,0,False,False
Drill Hog® 29 Pc Left Hand Drill Set HI-Moly M7 Drill Bit Set Lifetime Warranty ,9215,Brand New,0,True,412
13 Pc Left Hand Drill Bit Set Reverse Drill Flutes HI-Molybdenum M7 Drill Hog®,2849,Brand New,0,True,786
New Makita XFD10Z 18V 18 Volt LXT 1/2” Drill Driver 2 Speed Li-Ion Tool Only,6499,Open Box,0,True,False
20V Cordless Drill Screwdriver For Dewalt Battery Driver Electric With 2 Battery,3559,Brand New,599,True,False
For DEWALT 20V Battery Cordless Hammer Drill/Impact Driver Power Tool Combo Kit,49998999,Brand New,0,True,False
"New Milwaukee M18 2607-20 Cordless 1/2"" Compact Hammer Drill Driver 18 Volt 18V",10497,Brand New,0,True,4552
New DEWALT DCD799 ATOMIC 20-Volt MAX Brushless 1/2” Hammer Drill,7349,Brand New,0,False,279
Milwaukee 2606-20 18V Lithium-Ion Cordless 1/2 in. Drill Driver Tool Only!,6200,Open Box,0,False,False
For DeWalt DCB203 20V Max XR Brushless 2-Speed Cordless 1/2 in Hammer Drill 20 V,3999,Brand New,0,True,False
"DeWalt DCD805B 1/2"" Hammer Drill - Tool Only - NEW",9207,Brand New,0,False,False
Ridgid R86115 Cordless Brushless Hammer Drill/Driver Bundle Battery,3999,Pre-Owned,1285,True,False
New Listing,13000,Brand New,0,False,False
BLACK+DECKER 20V MAX* Cordless Drill - BCD702C1,4999,Brand New,0,False,False
"NEW HART HPDD01 20volt 1/2"" Cordless 20V Drill Driver - BARE TOOL",1950,Brand New,0,True,False
Bosch Bare-Tool 18-Volt Lithium-Ion 1/2-Inch Compact Tough Drill - DDS181B,5499,Brand New,0,True,129
Cordless Brushless Impact Driver Hammer Drill Combo Kit with 2 Battery & Charger,32986298,Brand New,0,False,False
"Milwaukee 3403-22 M12 FUEL 1/2"" Drill/Driver Kit",14995,Brand New,0,True,False
"18"" Planting Auger Spiral Hole Drill Bit Garden Yard  Bulb Earth Planter Tool",899,Brand New,0,True,2766
"20V Electric Drill 3/8"" Power Cordless Screwdriver 21PCS Drill Set with Battery",2999,Brand New,0,True,1603
"Milwaukee 3403-22 M12 FUEL 1/2"" Drill/Driver Kit",False,Brand New,0,True,False
"Milwaukee M18 3602-20 1/2"" Compact Brushless Hammer Drill - 18V - Brand NEW",9788,Open Box,299,False,60
SHITU Cordless Drill Electric Screwdriver Power Drill Yellow Battery Powered,3959,Open Box,0,False,False
"Cobalt Drill Bits 1/16""-1/2"" M35 HSS Co Jobber Twist Drill Bit Drill Steel Metal",12997167,Brand New,0,True,False
New Listing,4900,Pre-Owned,0,False,False
DEWALT DCD777D1  20V   1/2 in  Drill Driver and 2.0 Ah Battery,7199,Open Box,999,False,False
25PCS HSS Twist Drill Bit Set Metal Drill Bit Cobalt Stainless Steel 1-13mm Dril,2069,Brand New,0,False,False
Tungsten 3mm-16mm Carbide Tip TCT Drill Bits Twist Drill Bit for Stainless Steel,19514779,Brand New,349,False,False
"29PCS Cobalt Drill Bit Set HSSCO M35 Twist 1/16""-1/2"" Multi-Bits 135 Split Point",5642,Brand New,0,True,487
Milwaukee M18 Compact Brushless 1/2 Inch Drill/driver (Bare Tool)-(Renewed),9999,Certified - Refurbished,0,True,False
Electric Drill Plate Cutter Sheet Metal Nibbler Precise Cutting Sheet Cutter US,1300,Brand New,0,True,376
New Listing,6600,Open Box,0,True,False
New Listing,2397,Pre-Owned,0,True,False
Milwaukee 2415-20 M12 12V 3/8' Right Angle Drill/Driver - Bare Tool,9900,Brand New,0,True,127
New Listing,7999,Brand New,0,False,False
10pcs Diamond Drilling Core Bits Beveling Porcelain Tile Marble Grinder Hole Saw,10990,Brand New,0,False,False
"10-Pack 1/4"" Cobalt Drill Bit – M35 HSS – for Metal, Stainless, Wood",1997,Brand New,0,False,False
"Vearter 1/2""~1-1/2"" Twist Drill Bit HSS Jobber Drill Bit  for Steel Wood",11983558,Brand New,0,False,False
